<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
QQQ;5;13.06.2025;14:15:00;529.28;529.45;528.95;528.96;14098
QQQ;5;13.06.2025;14:20:00;528.93;528.93;528.11;528.88;80284
QQQ;5;13.06.2025;14:25:00;528.88;528.99;528.3;528.54;19439
QQQ;5;13.06.2025;14:30:00;528.48;528.64;527.38;527.49;36373
QQQ;5;13.06.2025;14:35:00;527.48;527.65;526.39;526.9;92625
QQQ;5;13.06.2025;14:40:00;526.89;527.07;525.89;526.18;58874
QQQ;5;13.06.2025;14:45:00;526.19;526.77;525.79;526.355;37157
QQQ;5;13.06.2025;14:50:00;526.4;527.06;526.21;526.3;28350
QQQ;5;13.06.2025;14:55:00;526.33;527.33;526.19;527.26;37632
QQQ;5;13.06.2025;15:00:00;527.21;527.59;526.73;527.34;27377
QQQ;5;13.06.2025;15:05:00;527.29;527.68;526.5;526.95;55671
QQQ;5;13.06.2025;15:10:00;526.95;527.74;526.76;527.71;23664
QQQ;5;13.06.2025;15:15:00;527.56;527.93;527.12;527.71;14316
QQQ;5;13.06.2025;15:20:00;527.8;527.86;527.05;527.09;16675
QQQ;5;13.06.2025;15:25:00;527.27;527.67;526.6;526.65;33376
QQQ;5;13.06.2025;15:30:00;526.61;526.67;526.23;526.49;11328
QQQ;5;13.06.2025;15:35:00;526.53;526.925;526.06;526.32;17685
QQQ;5;13.06.2025;15:40:00;526.21;527.49;526.11;527.25;23846
QQQ;5;13.06.2025;15:45:00;527.18;527.46;526.36;526.41;32591
QQQ;5;13.06.2025;15:50:00;526.35;527.11;525.74;526.6;74512
QQQ;5;13.06.2025;15:55:00;526.6;527.04;526.05;526.27;75392
QQQ;5;13.06.2025;16:00:00;526.26;527.03;526.04;526.94;267747
QQQ;5;16.06.2025;9:35:00;530.55;532.38;530.51;531.83;62133
QQQ;5;16.06.2025;9:40:00;531.75;532.36;531.5;532.28;20148
QQQ;5;16.06.2025;9:45:00;532.27;532.35;531.81;532.09;19482
QQQ;5;16.06.2025;9:50:00;532.21;532.74;531.59;532.62;26601
QQQ;5;16.06.2025;9:55:00;532.57;533.67;532.42;533.21;30372
QQQ;5;16.06.2025;10:00:00;533.18;534.11;533.15;533.72;37115
QQQ;5;16.06.2025;10:05:00;534.05;534.37;533.86;534.15;32821
QQQ;5;16.06.2025;10:10:00;534.23;534.3;533.58;533.63;24270
QQQ;5;16.06.2025;10:15:00;533.65;534.55;533.65;534.46;18687
