<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPY;5;15.07.2025;13:15:00;623.29;623.57;623.27;623.39;42006
SPY;5;15.07.2025;13:20:00;623.385;623.52;622.96;623.47;70274
SPY;5;15.07.2025;13:25:00;623.47;623.82;623.4;623.73;50444
SPY;5;15.07.2025;13:30:00;623.72;623.89;623.51;623.86;57845
SPY;5;15.07.2025;13:35:00;623.85;624.09;623.85;624.09;47885
SPY;5;15.07.2025;13:40:00;624.08;624.38;624.05;624.29;42789
SPY;5;15.07.2025;13:45:00;624.27;624.34;623.92;624.08;42226
SPY;5;15.07.2025;13:50:00;624.1;624.22;624.03;624.03;27716
SPY;5;15.07.2025;13:55:00;624.04;624.41;623.92;624.41;36684
SPY;5;15.07.2025;14:00:00;624.41;624.62;624.35;624.58;43709
SPY;5;15.07.2025;14:05:00;624.59;624.68;624.3;624.58;84792
SPY;5;15.07.2025;14:10:00;624.51;624.71;624.43;624.68;47114
SPY;5;15.07.2025;14:15:00;624.68;624.82;624.66;624.76;26958
SPY;5;15.07.2025;14:20:00;624.8;624.84;624.56;624.57;34430
SPY;5;15.07.2025;14:25:00;624.57;624.82;624.57;624.74;39544
SPY;5;15.07.2025;14:30:00;624.76;624.8;624.54;624.6;38884
SPY;5;15.07.2025;14:35:00;624.6;624.83;624.59;624.74;39911
SPY;5;15.07.2025;14:40:00;624.7;624.71;624.34;624.55;52252
SPY;5;15.07.2025;14:45:00;624.56;624.66;624.31;624.35;51374
SPY;5;15.07.2025;14:50:00;624.35;624.55;624.3;624.43;57163
SPY;5;15.07.2025;14:55:00;624.43;624.52;623.81;623.98;83376
SPY;5;15.07.2025;15:00:00;623.97;623.99;623.26;623.28;153779
SPY;5;15.07.2025;15:05:00;623.27;623.77;623.02;623.61;122120
SPY;5;15.07.2025;15:10:00;623.57;623.6;623.31;623.49;60992
SPY;5;15.07.2025;15:15:00;623.46;623.66;623.38;623.54;71083
SPY;5;15.07.2025;15:20:00;623.53;623.69;623.31;623.665;63108
SPY;5;15.07.2025;15:25:00;623.65;623.77;623.36;623.5;79326
SPY;5;15.07.2025;15:30:00;623.51;623.54;623.17;623.3;58307
SPY;5;15.07.2025;15:35:00;623.31;623.51;623.24;623.24;100397
SPY;5;15.07.2025;15:40:00;623.24;623.45;623.19;623.4;59721
SPY;5;15.07.2025;15:45:00;623.42;623.77;623.4;623.67;94017
SPY;5;15.07.2025;15:50:00;623.67;623.7;623.36;623.65;72943
SPY;5;15.07.2025;15:55:00;623.64;623.78;622.985;623.09;196099
SPY;5;15.07.2025;16:00:00;623.08;623.33;622.08;622.13;492718
SPY;5;15.07.2025;16:05:00;622.11;622.11;622.11;622.11;100
SPY;5;16.07.2025;9:35:00;623.76;624.12;623.27;623.51;200198
SPY;5;16.07.2025;9:40:00;623.49;623.95;623.36;623.76;88747
SPY;5;16.07.2025;9:45:00;623.77;623.78;623.01;623.16;76149
SPY;5;16.07.2025;9:50:00;623.15;623.24;622.65;622.65;81526
SPY;5;16.07.2025;9:55:00;622.66;622.73;622.18;622.25;94594
SPY;5;16.07.2025;10:00:00;622.29;622.63;622.03;622.12;60448
SPY;5;16.07.2025;10:05:00;622.12;622.46;622.02;622.31;82809
SPY;5;16.07.2025;10:10:00;622.3;622.51;621.68;622.21;97184
SPY;5;16.07.2025;10:15:00;622.21;622.77;622.18;622.24;82583
SPY;5;16.07.2025;10:20:00;622.2;622.695;622.06;622.64;64035
SPY;5;16.07.2025;10:25:00;622.65;622.86;622.39;622.56;58666
SPY;5;16.07.2025;10:30:00;622.55;622.71;622.2;622.49;71400
SPY;5;16.07.2025;10:35:00;622.49;623;622.42;622.65;95741
SPY;5;16.07.2025;10:40:00;622.64;622.64;622.01;622.34;94947
SPY;5;16.07.2025;10:45:00;622.325;622.46;622.01;622.46;58747
SPY;5;16.07.2025;10:50:00;622.45;622.94;622.45;622.9;38925
SPY;5;16.07.2025;10:55:00;622.89;623.37;621.68;621.94;221434
SPY;5;16.07.2025;11:00:00;621.78;622.73;621.51;622.19;245781
SPY;5;16.07.2025;11:05:00;622.24;622.89;622.05;622.65;122047
SPY;5;16.07.2025;11:10:00;622.61;623.03;622.52;622.88;83757
SPY;5;16.07.2025;11:15:00;622.9;623.35;622.83;623.31;75257
SPY;5;16.07.2025;11:20:00;623.31;623.34;620.19;620.28;810937
SPY;5;16.07.2025;11:25:00;620.29;620.69;619.47;619.86;489701
SPY;5;16.07.2025;11:30:00;619.84;621.57;619.77;621.36;266466
SPY;5;16.07.2025;11:35:00;621.37;621.4;619.2;619.37;604969
SPY;5;16.07.2025;11:40:00;619.33;619.37;618.05;618.74;431964
SPY;5;16.07.2025;11:45:00;618.76;620.6;618.48;620.41;328615
SPY;5;16.07.2025;11:50:00;620.42;620.79;620.1;620.55;208410
SPY;5;16.07.2025;11:55:00;620.54;620.9;619.96;620.69;163792
SPY;5;16.07.2025;12:00:00;620.75;622.53;620.66;621.95;251499
SPY;5;16.07.2025;12:05:00;621.93;622.12;621.47;621.62;92053
SPY;5;16.07.2025;12:10:00;621.64;622.24;621.53;621.87;145254
SPY;5;16.07.2025;12:15:00;621.88;621.99;621.24;621.55;117055
SPY;5;16.07.2025;12:20:00;621.57;621.91;621.44;621.6;71435
SPY;5;16.07.2025;12:25:00;621.6;621.63;621.11;621.52;56665
SPY;5;16.07.2025;12:30:00;621.5;621.72;621.04;621.67;61645
SPY;5;16.07.2025;12:35:00;621.71;621.95;621.6;621.85;47035
SPY;5;16.07.2025;12:40:00;621.84;622.27;621.84;622.22;36053
SPY;5;16.07.2025;12:45:00;622.22;622.32;622.01;622.01;42825
SPY;5;16.07.2025;12:50:00;622.03;622.18;621.14;622.09;86239
SPY;5;16.07.2025;12:55:00;622.12;622.9;622.11;622.74;59462
SPY;5;16.07.2025;13:00:00;622.74;623.12;622.71;623.1;80663
SPY;5;16.07.2025;13:05:00;623.09;623.32;622.91;623.22;45496
SPY;5;16.07.2025;13:10:00;623.22;623.62;623.17;623.44;46547
SPY;5;16.07.2025;13:15:00;623.47;623.78;623.43;623.56;45134
SPY;5;16.07.2025;13:20:00;623.57;623.63;623.31;623.55;43687
SPY;5;16.07.2025;13:25:00;623.56;623.63;623.19;623.37;29114
SPY;5;16.07.2025;13:30:00;623.4;623.45;623.07;623.12;34464
SPY;5;16.07.2025;13:35:00;623.1;623.18;622.94;623.02;42030
SPY;5;16.07.2025;13:40:00;623.02;623.35;623;623.24;36848
SPY;5;16.07.2025;13:45:00;623.24;623.26;622.98;623.13;29342
SPY;5;16.07.2025;13:50:00;623.12;623.37;623.06;623.22;40961
SPY;5;16.07.2025;13:55:00;623.22;623.24;622.95;623.045;29843
SPY;5;16.07.2025;14:00:00;623.05;623.24;623.04;623.09;22160
SPY;5;16.07.2025;14:05:00;623.09;623.36;622.93;623.34;37776
SPY;5;16.07.2025;14:10:00;623.33;623.46;623.09;623.25;42349
SPY;5;16.07.2025;14:15:00;623.25;623.26;622.95;623.17;46091
SPY;5;16.07.2025;14:20:00;623.2;623.34;622.95;622.95;40415
SPY;5;16.07.2025;14:25:00;622.9;623.3;622.73;623.21;51731
SPY;5;16.07.2025;14:30:00;623.16;623.44;623.16;623.34;31840
SPY;5;16.07.2025;14:35:00;623.35;623.62;623.35;623.57;51266
SPY;5;16.07.2025;14:40:00;623.58;623.83;623.57;623.75;42076
SPY;5;16.07.2025;14:45:00;623.73;623.94;623.64;623.84;52176
SPY;5;16.07.2025;14:50:00;623.83;623.87;623.6;623.76;57264
